catalyst,note,ticker,stage,drug,price
04/30/2018,"Phase 3 data released June 20, 2017 - primary and key secondary endpoints met. Additional data to be presented at ARVO conference April 30, 2018.",NVS,Phase 3,RTH258 (brolucizumab),76.69
04/30/2018,"Phase 3 completion of enrollment announced December 4, 2017 with data due spring 2018.",NBRV,Phase 3,Lefamulin - LEAP 2,4.80
04/30/2018,"Phase 3 trial met PFS endpoint - March 2015. Announced February 28, 2017 that interim analysis met secondary endpoint of overall survival (OS). PDUFA date for sNDA April 30, 2018.",AMGN,PDUFA,KYPROLIS (ENDEAVOR),174.48
04/30/2018,"sBLA filing announced October 31, 2017. No PDUFA date given. Estimate April 30, 2018 using 6-month timeframe following receipt of sBLA by FDA.",NVS,PDUFA priority review,Kymriah (CTL019 )- JULIET,76.69
05/01/2018,"PDUFA date August 8, 2018 under priority review. Advisory Committee Meeting May 1, 2018.",SIGA,PDUFA priority review,TPOXX,5.89
05/02/2018,"Phase 3 data released December 12, 2016 - primary endpoint met. PDUFA date under priority review June 25, 2018. Advisory Committee Meeting May 2, 2018.",AKAO,PDUFA priority review,Plazomicin,14.31
05/03/2018,"PDUFA data under priority review August 22, 2018. Advisory Committee Meeting May 3, 2018.",MNK,PDUFA priority review,Stannsoporfin,13.00
05/04/2018,"CRL August 17 2016. New PDUFA date initially set for February 2, 2018, extended by three months to May 4, 2018.",PTLA,PDUFA,Andexanet alfa,36.13
05/08/2018,"CRL issued June 2016. NDA resubmitted with PDUFA orginally scheduled for February 8, 2017 but delayed until May 8, 2017 due to submission of additional data. Advisory Committee meeting January 10, 2018 voted 6-13 against approval.",LPCN,PDUFA,LPCN 1021,1.54
05/10/2018,"PDUFA August 30, 2017. Advisory Committee Meeting scheduled for May 10, 2018.",IONS,PDUFA,Volanesorsen - APPROACH,43.03
05/10/2018,"PDUFA August 30, 2017. Advisory Committee Meeting scheduled for May 10, 2018.",AKCA,PDUFA,Volanesorsen - APPROACH,26.11
05/13/2018,"Noted February 9, 2018 that PDUFA date has been extended to May 13, 2018 to allow review of additional data.",VRX,PDUFA,Plenvu (NER1006),18.07
05/16/2018,"Phase 1b trial ongoing. Interim data released December 7, 2016. Positive Cohort 3 data released September 6, 2017. Further updated data released March 9, 2018. Presentation at ASGCT meeting May 16, 2018, 5pm. Phase 2/3 dosing to commence mid-2018.",VYGR,Phase 1b,VY-AADC01,18.16
05/16/2018,"Phase 1/2 dosing has commenced - noted September 21, 2017 with preliminary data released January 4, 2018. Data to be presented at ASGCT meeting May 16, 2018 10:30am.",BOLD,Phase 1/2,AT132 - ASPIRO,37.36
05/17/2018,"Phase 3 trial met primary endpoint September 2016. PDUFA date May 17, 2018.",NVS,PDUFA,Erenumab,76.69
05/17/2018,"Phase 2 completion of enrollment announced June 21, 2017. Data to be presented May 17, 2018.",RXII,Phase 2,RXI-109-1501,2.52
05/17/2018,"Phase 3 trial met primary endpoint September 2016. PDUFA date May 17, 2018.",AMGN,PDUFA,Erenumab,174.48
05/17/2018,"Phase 1/2 commencement of dosing announced February 12, 2018 with preliminary data to be presented at ASGCT meeting Thursday May 17, 2018 5:15pm.",BOLD,Phase 1/2,AT342 - VALENS,37.36
05/18/2018,"Phase 2 updated open-label data to be presented May 18, 2018 at American Urological Association (AUA) Meeting.",GTXI,Phase 2,Enobosarm - open label,17.00
05/18/2018,"Phase 2 enrollment completed - noted September 6, 2017. Data to be presented May 18, 2018.",RXII,Phase 2,Samcyprone - RXI-SCP-1502,2.52
05/18/2018,"Phase 1/2 updated data to be presented at ASGCT meeting - poster May 18, 2018 1:15 p.m CT.",RCKT,Phase 1/2,LVV-based gene therapy,17.24
05/19/2018,"Phase 1/2 data to be presented at the International Investigative Dermatology (IID) 2018 meeting - May 19, 2018. Full data due 2019.",PRQR,Phase 1/2,QR-313,3.95
