price,drug,note,catalyst,ticker,stage
18.12,Selinexor - SEAL,"Phase 2/3 trial initiated January 2016.Topline data for the Phase 2 portion released September 20, 2017 - PFS HR 0.60. Phase 3 data due by the end of 2019. Presentation at ASCO June 2, 2018 8am, Abstract 11512.",06/02/2018,KPTI,Phase 2/3
13.50,Lu-PSMA-617,"Data to be presented at ASCO June 2, 2018 at 1:15 p.m, Abstract 5040.",06/02/2018,ECYT,Phase 3
1.80,ADXS-PSA and Keytruda,"Preliminary data to be presented at ASCO June 2, from 4:45 pm CT. Abstract #5019.",06/02/2018,ADXS,Phase 1/2
8.82,Entinostat,"Phase 1 ASCO poster ASCO June 2, 2018, 8am. Abstract 10556.",06/02/2018,SNDX,Phase 1
20.58,CABOMETYX (cabozantinib) + Nivolumab and Ipilimumab,"Phase 1 abstract ASCO June 2, 2018 8am. Abstract 4528.",06/02/2018,EXEL,Phase 1
4.65,INO-5150,"Phase 1b further data due at ASCO June 2, 2018 1:15 PM. Abstract 5078",06/02/2018,INO,Phase 1b
2.21,RX-3117,"Phase 2a data presented at ASCO GU February 9, 2018 noted 33% of patients had PFS of 2 months or more. Further data due at ASCO June 2, 2018; 8am. Abstract 4543.",06/02/2018,RNN,Phase 2a
0.59,CDX-3379,"Phase 2 trial initiation announced November 18, 2017. Enrollment to be completed 3Q 2018. Presentation at ASCO June 2, 2018, 1:15pm. TPS6091.",06/02/2018,CLDX,Phase 2
2.21,Supinoxin RX-5902,"Phase 1b/2a poster at ASCO June 2, 2018; 8am. Abstract 1097.",06/02/2018,RNN,Phase 2a
19.65,SL-701,"Phase 2 abstract at ASCO June 2, 2018 1:15pm. Abstract 2058.",06/02/2018,STML,Phase 2
47.70,Rucaparib - ATLAS,"Phase 2 presentation at ASCO June 2, 2018 8am. Abstract TPS4592.",06/02/2018,CLVS,Phase 2
42.40,Sitravatinib,"Phase 1b new data to be presented at ASCO June 2, 2018, 8am. Abstract 4568.",06/02/2018,MRTX,Phase 1b
75.60,LEE011: MONALEESA-3,"Phase 3 data at ASCO June 3, 2018 8am. Abstract 1000.",06/03/2018,NVS,Phase 3
60.56,Keytruda - KEYNOTE-042,"Phase 3 data released April 9, 2018. Overall survival endpoint met. Presentation at ASCO June 3, 2018 3:10pm. Abstract LBA4.",06/03/2018,MRK,Phase 3
79.04,Lico-cel (CD-19 JCAR017) - TRANSCEND,"Phase 1 updated data to be presented at ASCO June 3, 2018 11:09am. Abstract 7505.",06/03/2018,CELG,Phase 1/2
46.89,Niraparib and Keytruda (TOPACIO),"Data presented at SGO March 26, 2018 showed ORR 25%, control rate 68%. Data to be presented at ASCO June 3, 2018, 9:45AM. Abstract 106.",06/03/2018,TSRO,Phase 1/2
5.30,CB-839 + Panitumumab,"Phase 1/2 poster at ASCO June 3, 2018 8am. Abstract TPS3616.",06/03/2018,CALA,Phase 1/2
23.07,Margetuximab in combination with pembrolizumab,"Phase 2 data due at ASCO June 3, 2018. Abstract 4030.",06/03/2018,MGNX,Phase 2
67.91,DPX-Survivac Vaccine Therapy and Epacadostat,"Phase 1 ASCO abstract June 3, 2018, 9.57am. Abstract 5510.",06/03/2018,INCY,Phase 1
49.93,AM0010 (PEG-IL-10),"Phase 1/1b trial ongoing. Data to be presented at ASCO June 3, 2018 8am. Abstract 9018.",06/03/2018,ARMO,Phase 1b
84.85,KEYTRUDA + chemo (KEYNOTE-021),"Phase 2 data presented at ESMO 2017 - ORR 57%, PFS 19 months, HR 0.54. 24mth overall survival data to be presented at ASCO June 3, 2018 8am. Abstract #9026.",06/03/2018,LLY,Phase 2
60.56,KEYTRUDA + chemo (KEYNOTE-021),"Phase 2 data presented at ESMO 2017 - ORR 57%, PFS 19 months, HR 0.54. 24mth overall survival data to be presented at ASCO June 3, 2018 8am. Abstract #9026.",06/03/2018,MRK,Phase 2
